Date,Open,High,Low,Close
2020/12/10,25.541,28.040001,25.15,27.040001
2020/12/11,27.15,28.27,26.059999,27.200001
2020/12/14,28.26,28.26,26.73,27.24
2020/12/15,26.82,27.1,25.52,26.43
2020/12/16,25.709999,26.16,25.110001,25.92
2020/12/17,26.52,27.450001,26.049999,27.23
2020/12/18,26.27,26.85,25.799999,25.969999
2020/12/21,26.190001,28.700001,25.4,28.51
2020/12/22,29.030001,29.42,26.82,28.040001
2020/12/23,28.950001,29.389999,28.049999,28.690001
2020/12/24,28.798,29.16,27.52,27.75
2020/12/28,28.389999,28.59,25.4,25.629999
2020/12/29,25.75,26.181999,24.34,24.66
2020/12/30,24.969999,25.91,24.629999,25.1
2020/12/31,24.629999,24.719999,23.52,23.549999
2021/1/4,23.91,24.5,22.5,23.370001
2021/1/5,23.18,24.67,22.889999,24.6
2021/1/6,24.120001,24.459999,23.25,23.540001
2021/1/7,24.02,25.190001,23.67,25
2021/1/8,25.700001,26.440001,24.700001,25.200001
2021/1/11,24.610001,26.6,24.309999,25.93
2021/1/12,26.34,26.42,25.51,26.18
2021/1/13,25.709999,27.43,25.129999,25.5
2021/1/14,25.450001,25.620001,24.370001,24.92
2021/1/15,26.26,28,25.459999,25.639999
2021/1/19,26.809999,27.540001,26,26.620001
2021/1/20,27.290001,27.299999,25.700001,26.34
2021/1/21,26.42,26.68,25.299999,25.98
2021/1/22,25.85,32.650002,25.82,32.580002
2021/1/25,34.459999,39.580002,29.559999,36.23
2021/1/26,35.139999,36.869999,34.32,35.369999
2021/1/27,32.970001,45,32.25,39
2021/1/28,39.540001,42,33.099998,35.66
2021/1/29,36.610001,38.009998,34.66,35.18
2021/2/1,35.330002,35.619999,32.580002,33.959999
2021/2/2,34.099998,34.200001,30.5,31.02
2021/2/3,32.389999,32.950001,31.379999,31.76
2021/2/4,32.580002,33.18,31.049999,32.049999
2021/2/5,32.610001,35.200001,31.75,34.049999
2021/2/8,37.220001,39.220001,35.889999,36.049999
2021/2/9,36.900002,38.255001,36.130001,38.169998
2021/2/10,38.150002,38.240002,35,35.700001
2021/2/11,35.790001,35.98,32.610001,33.110001
2021/2/12,33.360001,33.650002,31.34,31.91
2021/2/16,30.02,30.440001,27.299999,27.84
2021/2/17,27.99,29.73,27,27.08
2021/2/18,24.99,26.309999,24.5,25.17
2021/2/19,27.02,29.959999,26.9,29
2021/2/22,29.959999,30.190001,27.535999,28
2021/2/23,25.959999,27.459999,23.9,26.75
2021/2/24,26.709999,27.23,25.75,26.389999
2021/2/25,25.82,26.440001,23.15,23.959999
2021/2/26,24.200001,24.5,22.700001,23.9
2021/3/1,25.190001,25.9,24.620001,24.809999
2021/3/2,25,25.59,24.26,24.48
2021/3/3,24.99,25.167999,23.43,23.59
2021/3/4,24.85,25.559999,23.049999,24.73
2021/3/5,24.360001,24.68,20.18,23.950001
2021/3/8,23.77,24.58,22.4,22.52
2021/3/9,23.379999,24.74,23.1,24.26
2021/3/10,25.030001,26.24,24.27,24.75
2021/3/11,25.950001,26.84,25.58,26.73
2021/3/12,25.74,26.92,25.18,26.92
2021/3/15,27.35,27.469999,26.309999,26.790001
2021/3/16,26.75,27.1,25.23,25.610001
2021/3/17,24.52,25.73,24.299999,25.209999
2021/3/18,24.73,25.18,23.780001,23.98
2021/3/19,24.01,24.57,23.389999,24.32
2021/3/22,24.889999,24.92,23.860001,24.219999
2021/3/23,24,24.105,23.1,23.26
2021/3/24,23.299999,23.485001,21.75,21.879999
2021/3/25,21.200001,22.799999,21.049999,22.58
2021/3/26,22.629999,23.049999,21.76,22.58
2021/3/29,22.48,22.5,21.389999,21.73
2021/3/30,21.360001,22.09,20.860001,22.040001
2021/3/31,22.5,23.85,22.379999,23.290001
2021/4/1,23.950001,23.950001,22.73,23.07
2021/4/5,23.780001,24.450001,23.34,23.440001
2021/4/6,23.549999,23.610001,22.83,23.27
2021/4/7,23,23.549999,22.809999,22.9
2021/4/8,23.200001,23.6,22.74,23.41
2021/4/9,23.459999,24.35,23.370001,24.040001
2021/4/12,24.52,24.549999,22.73,23.34
2021/4/13,23.190001,25.659,23.120001,25.42
2021/4/14,25.35,26.200001,23.65,23.700001
2021/4/15,24.01,24.059999,22.690001,23.15
2021/4/16,22.860001,23.26,22.299999,22.469999
2021/4/19,22.15,22.33,21.530001,21.940001
2021/4/20,21.959999,22.549999,21.24,21.780001
2021/4/21,21.65,22.639999,21.43,22.629999
2021/4/22,22.940001,23.51,22.51,22.860001
2021/4/23,22.889999,23.549999,22.74,23.41
2021/4/26,23.690001,24.26,23.459999,24.110001
2021/4/27,24.17,24.26,23.57,23.879999
2021/4/28,23.67,24.17,23.42,23.85
2021/4/29,23.870001,24.139999,22.809999,23.370001
2021/4/30,23.18,23.549999,22.84,23.040001
2021/5/3,23.01,23.08,22.209999,22.299999
2021/5/4,21.940001,22.200001,20.870001,21.639999
2021/5/5,21.809999,21.940001,20.969999,21.15
2021/5/6,21.02,21.02,19.41,20.09
2021/5/7,20.299999,20.75,19.58,19.75
2021/5/10,19.280001,19.299999,18.18,18.469999
2021/5/11,17.200001,20.299999,17.055,20.209999
2021/5/12,20,20,18.51,18.889999
2021/5/13,19.139999,19.469999,17.82,18.370001
2021/5/14,18.82,20.200001,18.530001,20.08
2021/5/17,19.73,20.49,19.629999,20.459999
2021/5/18,20.52,21.620001,20.26,21.24
2021/5/19,20.1,21.035,19.940001,20.67
2021/5/20,20.75,20.809999,20.280001,20.610001
2021/5/21,20.84,21.16,20.469999,20.75
2021/5/24,21.059999,21.52,20.674999,21.219999
2021/5/25,21.42,22.110001,21.280001,21.48
2021/5/26,21.58,22.24,21.49,22.120001
2021/5/27,22.01,22.700001,21.65,22.700001
2021/5/28,23,24.75,22.76,22.950001
2021/6/1,23.190001,23.35,22.360001,23.059999
2021/6/2,23.02,24.84,22.82,24.450001
2021/6/3,24.139999,24.26,23.34,23.629999
2021/6/4,23.709999,24.49,23.5,24.030001
2021/6/7,24,24.76,23.790001,24.459999
2021/6/8,24.85,25.23,23.93,24.379999
2021/6/9,24.450001,24.74,24.17,24.17
2021/6/10,24,24.389999,23.440001,24.139999
2021/6/11,24.120001,24.709999,24.030001,24.67
2021/6/14,24.73,25.15,24.469999,25
2021/6/15,25.030001,25.549999,24.389999,24.41
2021/6/16,24.09,24.940001,23.860001,24.799999
2021/6/17,24.68,25.459999,24.549999,25.450001
2021/6/18,25.59,25.940001,25.02,25.370001
2021/6/21,25.1,25.549999,24.51,25.42
2021/6/22,25.389999,25.52,24.959999,25.4
2021/6/23,25.459999,26.35,25.34,26.27
2021/6/24,26.49,26.709999,26.17,26.530001
2021/6/25,26.58,27.01,26.245001,26.780001
2021/6/28,26.98,27.5,26.860001,27.379999
2021/6/29,27.379999,27.440001,26.440001,26.629999
2021/6/30,26.48,26.92,26.209999,26.360001
2021/7/1,26.1,26.129999,24.59,24.719999
2021/7/2,25,25.34,24.33,24.440001
2021/7/6,24.6,25.200001,24.469999,24.68
2021/7/7,24.23,24.26,22.719999,22.889999
2021/7/8,22.43,23.209999,22.25,23.08
2021/7/9,22.959999,23.389999,22.76,23.290001
2021/7/12,23.26,23.495001,22.879999,22.950001
2021/7/13,22.98,22.99,22.42,22.450001
2021/7/14,22.49,22.620001,21.51,21.559999
2021/7/15,21.719999,22.055,21.01,21.469999
2021/7/16,21.6,21.709999,21.24,21.370001
2021/7/19,20.969999,21.690001,20.549999,21.540001
2021/7/20,21.629999,22.35,21.219999,22.18
2021/7/21,22.27,22.68,22.120001,22.52
2021/7/22,22.549999,22.67,21.879999,22.07
2021/7/23,22.01,22.08,21.51,21.809999
2021/7/26,21.799999,22.299999,21.48,22.129999
2021/7/27,21.959999,22.110001,21.09,21.68
2021/7/28,21.75,22.615,21.690001,22.559999
2021/7/29,22.780001,22.85,22.139999,22.18
2021/7/30,21.85,22.406,21.709999,21.709999
2021/8/2,21.91,22.370001,21.48,22.1
2021/8/3,22.030001,22.27,21.709999,22.24
2021/8/4,22.200001,22.540001,22.07,22.299999
2021/8/5,22.219999,22.77,22.02,22.52
2021/8/6,22.639999,22.690001,21.790001,21.82
2021/8/9,21.85,23.280001,21.799999,22.93
2021/8/10,23.01,23.52,22.780001,22.92
2021/8/11,23.07,23.190001,22.09,22.35
2021/8/12,24.450001,25.76,23.584999,24.889999
2021/8/13,25,25.1,24.309999,24.9
2021/8/16,24.9,24.9,23.77,24.5
2021/8/17,23.9,24.59,23.74,23.969999
2021/8/18,24.07,25.940001,23.68,25.280001
2021/8/19,25.01,25.639999,24.139999,24.16
2021/8/20,24.219999,24.48,23.66,24.01
2021/8/23,24.02,24.93,23.9,24.82
2021/8/24,25,25.35,24.76,25.1
2021/8/25,25.120001,25.190001,24.07,24.35
2021/8/26,24.4,25.41,24.360001,24.870001
2021/8/27,25.049999,26.09,24.91,25.709999
2021/8/30,25.74,26.6,25.620001,25.76
2021/8/31,25.790001,26.360001,25.66,26.34
2021/9/1,26.459999,26.51,26.030001,26.200001
2021/9/2,26.209999,26.870001,26.09,26.51
2021/9/3,26.49,26.75,26.219999,26.639999
2021/9/7,26.790001,26.879999,26.27,26.700001
2021/9/8,26.6,26.610001,24.959999,25.58
2021/9/9,25.389999,26.24,25.290001,26.129999
2021/9/10,26.18,26.73,26.17,26.280001
2021/9/13,26.15,26.239,25.030001,25.83
2021/9/14,25.969999,26.700001,25.9,26.26
2021/9/15,26.299999,27.15,26.030001,27.08
2021/9/16,27.200001,28.790001,27.02,28.629999
2021/9/17,28.66,29.290001,28.07,28.709999
2021/9/20,27.57,28.1,26.059999,26.549999
2021/9/21,26.889999,27.149,26.08,26.620001
2021/9/22,26.610001,27.77,26.582001,27.43
2021/9/23,27.709999,29.190001,27.67,28.77
2021/9/24,28.27,28.76,27.900999,28.559999
2021/9/27,28.23,28.379999,27.23,27.469999
2021/9/28,27.02,27.129999,25.209999,25.34
2021/9/29,25.610001,25.700001,24.42,24.52
2021/9/30,24.690001,25.049999,23.879999,24.040001
2021/10/1,24.209999,24.360001,23.719999,24.33
2021/10/4,24.01,24.049999,23.02,23.17
2021/10/5,23.209999,23.879999,23.07,23.209999
2021/10/6,24.91,25.01,23.35,23.58
2021/10/7,23.709999,24.129999,23.540001,23.73
